boroughs,Accomodation Services,Comparison - Bulky,Comparison - Not Bulky,Convenience,DIY,Gardening,Leisure,On Licence,Other Goods and Services,Other Spending,Restaurants and Caffees,Takeaway / Snack Spending,sum
Barking and Dagenham,23.7795561,111.6754589,188.552256,214.1769753,17.17436852,3.300711682,53.81041547,30.77354318,161.4021051,724.7998228,48.95790961,22.38075868,1600.783881
Barnet,84.04784414,392.7521039,562.8945735,464.617507,37.73706801,9.887658142,135.5917967,108.7677983,444.1448577,2406.72032,173.0396791,79.10385331,4899.30506
Bexley,27.05676542,130.6789075,215.194247,205.2470216,16.97254024,4.089864532,56.95048132,35.0146376,196.077386,758.4691276,55.70510527,25.46519098,1726.921275
Brent,62.61491014,269.3096108,443.6592803,433.1734171,33.93352024,7.289286244,110.7391009,81.03106019,354.9317012,1871.990598,128.9130503,58.93168014,3856.517216
Bromley,70.93311316,342.2520272,504.8953265,435.4175027,35.61550392,9.522525664,127.0638118,91.7957935,431.7667352,1994.219973,146.0387624,66.76057709,4256.281652
Camden,128.6363295,500.8036497,783.6822916,672.0961109,53.80388416,13.33121911,195.5532131,166.470544,563.1019059,3794.251331,264.8395019,121.0694866,7257.639467
City of London,4.671505912,16.14441511,28.5159224,22.35904025,1.612214162,0.479197335,6.865457042,6.045478239,19.8570133,139.3562324,9.61780629,4.396711447,259.9209939
Croydon,93.50123887,422.6785707,692.6464099,629.344041,49.57396616,12.00851543,170.9714422,121.0016032,558.5616157,2763.00698,192.5025506,88.001166,5793.7981
Ealing,92.19248255,382.6543464,632.4073604,581.7667652,46.08375303,10.75914561,156.8958229,119.3079186,497.6188569,2777.061351,189.8080523,86.76939534,5573.32525
Enfield,35.24487231,162.3137335,255.5039734,238.1261015,19.03007407,4.402524804,63.7762809,45.61101123,208.5041946,1040.983015,72.56297241,33.17164453,2179.230398
Greenwich,45.42041739,195.0247132,341.7111984,341.402127,27.05454456,5.643980436,88.69484634,58.77936368,263.0340613,1427.191804,93.51262404,42.74862813,2930.218308
Hackney,53.50531323,212.9076266,366.4341983,392.7085872,31.11317072,5.51549454,100.2991847,69.24217006,262.3730888,1754.691942,110.1579978,50.35794187,3409.306716
Hammersmith and Fulham,86.15462808,312.5881726,530.875518,460.925414,37.25146526,8.807524526,129.8491051,111.4942246,374.2593706,2561.948937,177.3771754,81.08670878,4872.618244
Haringey,30.7772507,128.2650295,216.9362343,211.8696682,16.6272089,3.280459529,52.76979865,39.82938326,154.4131355,947.460656,63.36492791,28.96682419,1894.560577
Harrow,53.63049325,251.5823449,384.1759981,340.1105389,27.13409835,7.035769587,95.26145927,69.40416774,330.5596311,1500.633914,110.4157214,50.47575835,3220.419895
Havering,26.4521866,130.9883394,205.1618689,195.7615894,16.20685126,3.988178077,53.93183511,34.23224149,188.9593442,739.2217626,54.46038418,24.89617563,1674.260757
Hillingdon,78.85306926,369.6253224,579.6262291,537.2887943,43.7462666,10.85329856,148.8640318,102.0451485,518.5421668,2269.316652,162.3445544,74.21465342,4895.320187
Hounslow,71.93528536,312.5778888,520.8002164,499.6942232,40.01443537,9.048635633,132.6587312,93.09272223,435.4974367,2167.378195,148.1020581,67.70379799,4498.503626
Islington,52.22985576,190.6370495,327.0891895,312.3848907,24.95975993,5.266291792,85.98240598,67.59157804,232.2909295,1624.723463,107.532056,49.1575113,3079.844981
Kensington and Chelsea,72.98484757,339.290103,431.0979679,334.6350942,27.62891854,7.874450878,101.8472625,94.4509792,325.1596531,1959.250953,150.2629215,68.69162124,3913.174773
Kingston upon Thames,47.08647728,204.4193988,324.1303748,270.7208676,21.56389496,5.737101509,79.9525532,60.93544119,254.7368967,1383.004096,96.94274735,44.3166845,2793.546534
Lambeth,81.39250035,306.6228005,539.022047,518.3899448,41.02068874,8.508063043,138.9776439,105.331471,383.5240662,2572.01187,167.5727948,76.60470622,4938.978597
Lewisham,57.34495152,233.2371995,433.4424126,428.4375044,33.01626735,6.542343711,107.5405995,74.21111373,310.3027064,1864.657056,118.0631355,53.97171907,3720.767009
Merton,56.02121481,236.0430938,392.7491501,347.2268063,27.38265059,6.706853501,96.16254544,72.4980427,300.7359075,1680.296191,115.3377952,52.72584923,3383.8861
Newham,46.1958413,203.6489845,362.8491265,408.9939037,31.24381719,5.013815268,93.05157879,59.78285345,257.15673,1521.816529,95.10908503,43.47843887,3128.340704
Redbridge,32.72450226,148.7173449,239.6766463,223.7153786,17.75853196,4.213864406,59.76472645,42.34935587,202.7772222,956.191695,67.37397524,30.79953154,2026.062775
Richmond upon Thames,57.71664638,263.6339097,372.4338506,295.1181978,24.41402516,6.639198358,89.13021417,74.69213061,290.0587221,1638.949336,118.8283896,54.32154953,3285.93617
Southwark,76.55721438,303.3463449,517.668649,531.1562084,41.78339839,7.970037154,139.4983092,99.07404214,370.0091763,2486.931443,157.6177943,72.05384883,4803.666466
Sutton,47.39615192,216.2305548,346.5003373,301.5372288,24.5327886,6.269359269,87.70082018,61.33619661,288.4795871,1386.213682,97.58031278,44.60814299,2908.385162
Tower Hamlets,72.06822798,273.2077478,475.9626546,489.6574718,37.94791787,7.365108899,132.6438353,93.26476562,340.1152994,2379.072875,148.3757635,67.82892045,4517.510588
Waltham Forest,29.0155237,125.8437422,231.8511754,231.0427544,17.69521585,3.545174294,56.50254059,37.54950126,172.7553947,914.5000507,59.73784291,27.30872819,1907.347644
Wandsworth,145.2560763,533.4138879,922.1081127,793.8398082,62.46512341,15.10954354,223.1272035,187.9784517,648.4275424,4364.450004,299.0566277,136.7116012,8331.943983
Westminster,138.959774,588.7335942,836.0878618,673.8113636,53.09687558,14.7100592,202.5682512,179.8302957,611.3313297,3926.43598,286.0936523,130.7856696,7642.444707
总计,2082.357067,8811.848017,14206.34266,13036.75285,1037.194808,240.7152543,3574.997304,2694.815028,10951.46577,62297.20784,4287.205727,1959.865475,125180.7678
